Date,Mkt-RF_VM,SMB_VM,HML_VM,Mom_VM,Mkt-RF,SMB,HML,Mom,RF
1930-03,13.8463,12.4056,1.0588,-12.0727,7.0900,3.3900,0.3000,-4.2300,0.3500
1930-04,-5.2482,-0.8205,-1.0445,6.4709,-2.0500,-0.3500,-0.3700,4.1300,0.2100
1930-05,-3.2145,-4.8774,-1.6581,-2.3073,-1.6600,-2.1000,-0.7400,-0.7600,0.2600
1930-06,-10.8311,-3.0063,2.6037,5.5921,-16.0800,-3.5900,2.4000,5.8400,0.2700
1930-07,0.9484,-0.1135,-1.7811,-1.7553,4.1200,-0.2700,-1.7000,-2.1400,0.2000
1930-08,0.2151,-1.6624,-1.4579,3.7731,0.3000,-2.1600,-0.5900,3.8700,0.0900
1930-09,-9.9877,-2.5178,-21.1152,33.2114,-12.8100,-2.4100,-5.0900,11.5900,0.2200
1930-10,-7.3942,-0.2725,-1.6400,10.5339,-8.7800,-0.2000,-1.0900,6.2700,0.0900
1930-11,-0.8418,0.5720,-3.0143,-1.2120,-3.0400,2.4600,-3.8100,-1.3200,0.1300
1930-12,-3.6489,-3.3713,-5.9386,7.1766,-7.8600,-4.6700,-5.6900,12.4800,0.1400
1931-01,2.5100,1.0345,4.1414,-3.5234,6.2500,3.4700,8.2400,-11.1000,0.1500
1931-02,6.7204,2.5878,0.9329,-3.9772,10.8800,3.4500,1.6300,-13.5800,0.0400
1931-03,-7.3818,7.1224,-6.3998,4.9425,-6.3500,2.8300,-3.2000,9.7200,0.1300
1931-04,-8.7976,-3.6508,-7.3798,6.8796,-10.0000,-4.2200,-4.3300,11.0000,0.0800
1931-05,-6.4366,3.6258,-4.3300,9.3623,-13.2900,5.2200,-6.3100,9.2300,0.0900
1931-06,7.2574,-1.2858,11.0728,-20.0720,13.9300,-5.0100,11.7000,-17.6000,0.0800
1931-07,-1.0893,0.1987,-0.5991,1.8432,-6.6300,1.4900,-2.2000,8.4000,0.0600
1931-08,0.2064,-0.9566,-0.7868,-1.9894,0.4000,-2.0800,-1.7000,-3.1200,0.0300
1931-09,-21.5235,-0.5756,-6.3179,37.4730,-28.7400,-1.0200,-7.2400,9.2900,0.0300
1931-10,1.1813,-0.0236,0.4008,2.7445,7.9900,-0.2800,3.1200,2.9700,0.1000
1931-11,-0.7521,0.3117,-1.1467,2.6474,-9.1400,4.4000,-5.1900,7.9400,0.1700
1931-12,-4.1440,-0.2135,-4.5011,6.4029,-13.5200,-0.8700,-9.1900,12.9500,0.1200
1932-01,-0.2529,0.3308,1.2927,-2.1102,-1.5700,4.4100,9.7400,-9.9400,0.2300
1932-02,1.1143,-0.2983,-0.3281,0.2758,5.4500,-2.5100,-1.4700,1.4900,0.2300
1932-03,-1.5242,0.1749,-1.3469,4.7292,-11.3000,2.1300,-2.2000,10.0400,0.1600
1932-04,-5.2623,0.1610,1.5462,5.9493,-17.9400,0.9300,2.0700,7.6300,0.1100
1932-05,-4.3006,0.5235,-1.4428,4.9619,-20.5100,4.2100,-4.0800,12.5400,0.0600
1932-06,-0.1378,0.0367,3.0452,0.7233,-0.7700,0.4000,5.8500,1.9200,0.0200
1932-07,4.2523,-0.2924,8.6509,-6.0284,33.6100,-4.2900,35.5200,-45.7400,0.0200
1932-08,6.7179,1.6662,4.3742,-11.5313,37.1200,13.4600,34.2000,-52.6100,0.0300
1932-09,-0.2864,-0.1509,-0.8342,0.3461,-2.9400,-2.1500,-7.3700,2.4600,0.0300
1932-10,-1.0956,-0.2710,-1.4125,1.5714,-13.1500,-2.5900,-10.4700,4.6200,0.0200
1932-11,-0.5963,0.2308,-1.6346,-0.3446,-5.8800,1.8300,-13.1900,-0.9600,0.0200
1932-12,0.6916,-1.2422,-1.7013,3.1089,4.4200,-8.3000,-7.5400,4.6400,0.0100
1933-01,0.4697,0.1016,0.8493,-2.0308,1.2400,0.7300,6.4600,-2.4400,0.0100
1933-02,-9.7438,-0.5689,-0.8022,3.5646,-15.2900,-2.6300,-2.9200,4.6500,-0.0300
1933-03,0.7958,0.7914,3.5820,3.0446,3.0600,3.6000,7.0900,4.2400,0.0400
1933-04,3.4385,0.7405,1.8912,-11.2182,38.8100,3.0200,20.1000,-17.4000,0.1000
1933-05,2.4564,6.3353,1.7097,-1.8126,21.4300,35.9600,18.6600,-5.5400,0.0400
1933-06,3.2752,1.5759,-0.2236,1.5980,13.1000,8.6500,-1.6400,4.1800,0.0200
1933-07,-1.4754,-0.2013,0.4166,-0.2775,-9.6400,-1.0600,3.3000,-0.3500,0.0200
1933-08,1.0899,-1.0199,0.3122,3.2936,12.0400,-5.1600,3.0500,7.5400,0.0300
1933-09,-2.9209,-0.2299,-4.6365,1.0844,-10.6500,-0.5800,-11.7100,1.6100,0.0200
1933-10,-1.9922,-0.0175,-1.5161,-1.1206,-8.3600,-0.0700,-8.4900,-2.2100,0.0100
1933-11,1.2849,-0.8744,0.1837,1.7848,9.9700,-6.3700,2.2700,6.4800,0.0200
1933-12,0.6553,0.1048,-0.6488,3.7957,1.8200,0.3600,-1.9900,4.0100,0.0200
1934-01,6.8642,8.4792,4.8754,-2.0105,12.6000,13.2100,16.2000,-3.3900,0.0500
1934-02,-1.1997,3.0657,0.4560,0.1043,-2.5100,5.0500,1.8600,0.0900,0.0200
1934-03,0.0534,2.1740,-0.8000,-0.5694,0.0900,2.4500,-2.5900,-0.6700,0.0200
1934-04,-0.9681,4.2950,-2.4357,-7.3788,-1.7900,2.7300,-3.8300,-4.8100,0.0100
1934-05,-10.4356,-0.5299,-6.4066,-12.0175,-7.2600,-0.3100,-5.9000,-2.3900,0.0100
1934-06,1.2037,-1.4456,-0.7477,-2.9547,2.7100,-2.1800,-2.8500,-0.7900,0.0100
1934-07,-5.5681,-4.9379,-4.9674,11.4215,-10.9400,-7.1200,-10.7600,8.8000,0.0100
1934-08,1.7139,1.5470,0.0545,2.7227,5.5800,5.5500,0.1700,2.5600,0.0100
1934-09,-0.1268,-0.7166,-0.7241,-0.0719,-0.2400,-1.5000,-1.2100,-0.0600,0.0100
1934-10,-1.2563,0.7143,-5.8296,9.9085,-1.6600,1.2300,-5.0000,6.8800,0.0100
1934-11,7.7700,4.7142,-1.0932,2.8948,8.3300,6.6000,-2.1400,3.7700,0.0100
1934-12,0.6943,2.4386,-2.4141,4.7104,0.3600,3.2800,-3.1600,4.5300,0.0100
1935-01,-4.5142,1.3576,-2.4325,1.3450,-3.4600,0.9600,-1.7700,3.1000,0.0100
1935-02,-2.8590,0.5564,-8.9087,17.1613,-1.9600,0.3200,-7.4800,14.4600,0.0200
1935-03,-4.6611,-2.4322,-2.1593,1.0531,-3.7100,-3.4300,-5.0300,2.3700,0.0100
1935-04,9.0185,-0.9586,2.1872,-2.0317,9.0600,-1.5800,4.3700,-4.7500,0.0100
1935-05,4.0848,-1.9215,1.2275,-1.5041,3.4600,-3.2000,2.4500,-3.5900,0.0100
1935-06,6.9854,-3.3067,-1.5991,2.8265,5.9300,-2.5300,-1.5200,2.6700,0.0100
1935-07,9.6719,2.8092,9.8858,-9.7622,7.5400,2.0200,6.5800,-4.7800,0.0100
1935-08,6.2225,15.0497,3.5590,-12.8134,2.6500,6.0100,6.2900,-6.4600,0.0100
1935-09,3.0897,1.2248,-0.9983,5.1797,2.6200,1.5500,-4.1200,8.3100,0.0100
1935-10,11.6762,9.0721,-2.1373,6.1588,7.0300,2.6700,-2.3300,1.8200,0.0100
1935-11,5.4196,6.9425,7.5613,-18.4296,4.8700,4.6500,12.2000,-7.0400,0.0200
1935-12,5.5035,0.1467,0.3919,7.5764,4.5500,0.0900,0.8300,3.7000,0.0100
1936-01,10.1146,13.5730,8.7105,-7.2705,6.8900,5.6000,10.9500,-2.9400,0.0100
1936-02,4.8356,0.8289,2.0866,4.4992,2.4900,0.8400,4.3300,2.5300,0.0100
1936-03,1.7260,1.4126,-1.1907,3.2588,0.9600,0.6900,-1.5900,1.6300,0.0200
1936-04,-6.4310,-9.6329,-2.5590,-5.0741,-8.1400,-5.9900,-2.2800,-7.6700,0.0200
1936-05,3.2445,0.9100,1.2046,1.2906,5.1900,0.8900,2.5500,2.5000,0.0200
1936-06,2.9138,-10.5961,-1.2630,0.6342,2.4000,-3.2200,-1.1900,0.5600,0.0300
1936-07,18.3442,3.1875,5.3122,12.2773,6.6800,1.0700,2.5300,2.4900,0.0100
1936-08,2.5491,1.8005,12.0218,3.6583,0.9900,0.6100,3.7900,0.6000,0.0200
1936-09,1.6151,15.1501,1.2727,3.2358,0.9700,3.1200,0.9400,1.4100,0.0100
1936-10,23.5008,-9.7935,10.3797,6.4333,7.1000,-2.3500,2.5100,0.6800,0.0200
1936-11,5.8042,26.2312,-3.4881,12.1400,3.2600,8.7000,-1.2500,2.0400,0.0100
1936-12,0.2486,6.5817,5.1843,11.5091,0.2000,3.8700,4.1400,2.1300,0.0000
1937-01,7.2917,7.9440,6.7273,-9.8303,3.3500,4.4900,2.7800,-1.9900,0.0100
1937-02,2.6776,1.9711,9.3598,28.7262,1.0800,0.6400,4.2800,2.7800,0.0200
1937-03,-0.8087,-3.9682,11.2829,15.6619,-0.2600,-1.2500,7.0400,3.3100,0.0100
1937-04,-9.7948,-7.2037,-1.7839,-4.1898,-7.3600,-3.7200,-3.4600,-3.5400,0.0300
1937-05,-0.4995,-0.8543,-3.7778,0.3428,-0.8300,-0.6900,-3.4600,0.5700,0.0600
1937-06,-4.8100,-6.3357,-5.0561,1.2952,-4.2300,-3.9100,-3.1200,0.7800,0.0300
1937-07,10.8952,1.6041,2.4236,-1.2157,8.9100,0.8800,0.8100,-0.4500,0.0300
1937-08,-7.1387,0.8859,-5.1239,-7.6741,-4.8800,0.4500,-2.2500,-1.8600,0.0200
1937-09,-28.6374,-22.7508,-13.4745,-60.8083,-13.6200,-7.0000,-4.5500,-6.8100,0.0400
1937-10,-1.9879,0.1029,-1.1705,-1.6230,-9.5900,0.4500,-1.5200,-1.4600,0.0200
1937-11,-0.8593,-0.1943,0.0693,-0.2024,-8.3300,-3.5600,0.2200,-1.3100,0.0200
1937-12,-0.7606,-3.5859,-0.4889,0.7731,-4.2900,-7.9200,-0.4700,4.8500,0.0000
1938-01,0.2653,2.3611,-3.0950,-0.8571,0.4800,4.8400,-1.5300,-1.7400,0.0000
1938-02,2.4524,0.1688,-5.3615,-0.6318,5.8500,0.4100,-1.9700,-2.8400,0.0000
1938-03,-12.0244,-3.7746,-12.3915,8.6960,-23.9100,-4.3000,-3.6300,15.7800,-0.0100
1938-04,3.4520,4.5471,0.6720,-2.8839,14.4800,6.4000,0.4500,-9.8500,0.0100
1938-05,-0.7874,-1.5618,-0.4774,1.6175,-3.8600,-2.4700,-0.2400,6.9800,0.0000
1938-06,14.8837,2.6362,0.6233,-10.7378,23.8900,4.2200,0.3700,-24.8700,0.0000
1938-07,2.2982,3.8107,3.5693,-1.3301,7.3300,6.6900,2.2800,-6.7700,-0.0100
1938-08,-1.5067,-1.5403,-4.6946,1.5146,-2.6800,-2.4800,-4.7800,3.4900,0.0000
1938-09,0.5644,-3.7443,-2.2018,7.2195,0.8300,-2.6800,-1.7000,2.4500,0.0200
1938-10,1.6590,1.5145,2.0440,-10.2150,7.8000,5.8100,5.0400,-7.5300,0.0100
1938-11,-1.7377,-3.3301,-1.0731,5.1872,-1.7400,-2.5500,-1.2000,3.3200,-0.0600
1938-12,3.8446,-2.9715,0.5236,6.0650,4.1600,-1.8100,0.5400,2.3300,0.0000
1939-01,-9.4441,-2.0966,-3.0591,-4.2851,-5.9700,-1.5400,-3.9200,-2.9600,-0.0100
1939-02,1.8944,0.4948,1.7419,1.9992,3.5100,0.6100,2.9200,3.0800,0.0100
1939-03,-16.2166,-14.0090,-12.4998,-5.0399,-12.0300,-4.7500,-8.2700,-1.8600,-0.0100
1939-04,-0.0728,0.9198,-0.1765,1.5171,-0.1800,1.6700,-0.3000,2.7300,0.0000
1939-05,2.7794,2.2006,0.2284,1.4875,6.8100,2.8000,0.4700,3.4700,0.0100
1939-06,-6.5012,-2.9159,-8.9093,5.4556,-5.3300,-1.0900,-5.2800,2.2500,0.0100
1939-07,12.6621,12.2306,0.2541,-1.6688,10.2200,4.1800,0.1300,-0.6900,0.0000
1939-08,-6.5540,-5.5739,-7.3221,7.9686,-6.6800,-4.5900,-2.4700,5.9600,-0.0100
1939-09,9.2307,16.0605,62.2649,-49.4276,16.8900,20.5700,21.7600,-31.4500,0.0100
1939-10,-0.1213,-0.0074,-0.6425,0.3274,-0.5300,-0.0800,-4.7900,6.5500,0.0000
1939-11,-7.5453,-4.9516,-10.5107,-1.6530,-3.6500,-5.1200,-6.3000,-0.3900,0.0000
1939-12,9.7574,0.9526,-12.5704,43.1966,2.9300,0.9200,-4.1900,5.4200,0.0000
1940-01,-8.7829,0.4197,-1.3181,4.5464,-2.4100,0.2300,-0.7700,1.7400,0.0000
1940-02,3.7541,4.7662,-0.8200,4.1765,1.4400,2.5200,-0.3600,1.6700,0.0000
1940-03,19.2936,3.2040,-6.8677,-8.0441,2.0500,1.2400,-1.2700,-0.5400,0.0000
1940-04,1.1470,5.6445,-1.9586,15.8725,0.2200,3.9900,-0.2200,3.3500,0.0000
1940-05,-80.0523,-10.4716,-9.6968,10.4385,-22.0000,-6.6200,-3.7200,2.7700,-0.0200
1940-06,1.0578,-0.2416,2.3004,-1.4562,6.6900,-2.3200,4.8800,-2.4600,0.0000
1940-07,1.2506,0.7560,-0.6808,1.2754,3.1700,0.9900,-0.7500,0.9300,0.0100
1940-08,7.8944,-0.8490,2.4669,-4.0838,2.2100,-0.1800,0.5500,-1.8000,-0.0100
1940-09,2.8654,14.6018,-4.0270,-0.0721,2.3900,3.2000,-1.1400,-0.0600,0.0000
1940-10,3.8371,0.7549,6.8796,-3.2555,3.0300,0.3300,4.6500,-5.7600,0.0000
1940-11,-4.8808,4.2689,0.4398,2.1448,-1.6500,1.9800,0.1600,1.3100,0.0000
1940-12,0.4709,-4.5172,-0.5782,2.6940,0.6900,-2.1200,-0.8900,3.5400,0.0000
1941-01,-33.7794,4.1570,14.1922,-23.2508,-4.1800,0.9800,3.8300,-4.4000,-0.0100
1941-02,-3.6578,-2.8438,1.1336,4.3967,-1.4300,-1.5600,0.8900,1.0400,-0.0100
1941-03,1.2221,0.2185,6.2801,20.3301,0.8400,0.0900,3.0500,2.4700,0.0100
1941-04,-18.9760,-4.4567,9.4064,24.9877,-5.4600,-1.6700,3.4100,3.0500,-0.0100
1941-05,2.9498,-2.4185,0.6436,13.7220,1.3700,-0.6400,0.6100,2.5200,0.0000
1941-06,18.3928,3.1690,0.9123,-6.4197,5.8300,1.3100,0.6100,-0.7700,0.0000
1941-07,19.0899,30.9268,64.1794,-12.1853,5.8700,5.7400,7.2400,-1.5600,0.0300
1941-08,-0.5428,-0.8812,-1.4309,0.9555,-0.1700,-0.4300,-1.1000,0.1800,0.0100
1941-09,-9.0061,-4.3045,-0.7498,-12.9542,-0.8800,-0.9800,-0.2700,-1.5900,0.0100
1941-10,-20.9991,-6.2251,4.5451,43.4191,-5.2600,-2.0700,1.6300,4.9000,0.0000
1941-11,-5.3726,-4.1936,-1.2876,14.8472,-1.9500,-1.0800,-0.6000,4.4100,0.0000
1941-12,-19.2228,-14.0427,-17.9116,2.1710,-4.8800,-2.8600,-5.9400,0.4000,0.0100
1942-01,0.3887,4.2091,4.0225,-7.9978,0.7900,7.4500,10.1000,-3.8200,0.0200
1942-02,-4.2258,1.8358,-0.8964,-0.8693,-2.4600,1.7400,-1.1500,-0.7200,0.0100
1942-03,-20.6673,9.3299,-1.8210,-3.9441,-6.6000,1.8700,-0.6100,-0.2600,0.0100
1942-04,-5.6559,-1.0099,5.5620,-14.4534,-4.3700,-0.4400,2.0900,-0.8300,0.0100
1942-05,8.3052,-9.5799,-5.0192,-22.5475,5.9600,-3.2000,-2.6700,-4.7800,0.0300
1942-06,6.8966,-2.7288,1.4927,-6.8874,2.6800,-1.2800,0.4300,-1.3600,0.0200
1942-07,9.5421,-0.5220,10.5661,3.9410,3.5100,-0.1500,2.4100,0.7900,0.0300
1942-08,3.7425,-0.0848,8.1044,0.1053,1.8000,-0.0400,1.3300,0.0200,0.0300
1942-09,18.7478,3.6171,7.5840,-10.1396,2.6200,0.6300,2.3900,-0.8900,0.0300
1942-10,59.4106,15.5073,25.0343,-86.5264,6.8200,1.6900,6.4700,-4.3100,0.0300
1942-11,0.3291,-6.3272,-7.1484,-16.6121,0.1300,-1.4200,-4.2300,-1.0700,0.0300
1942-12,22.6274,-15.6962,2.3145,37.1028,5.1400,-2.5500,0.5500,3.1800,0.0300
1943-01,30.1545,44.6483,9.0188,-1.9224,7.1300,8.7700,8.2300,-0.3000,0.0300
1943-02,24.3664,10.0749,9.5119,-6.2598,6.1600,4.8400,6.5200,-1.6300,0.0300
1943-03,23.2058,10.4527,6.8510,31.4858,6.0300,5.1300,5.4900,4.7200,0.0300
1943-04,1.8917,4.6275,4.5129,13.7911,0.8100,2.0900,5.8600,5.8600,0.0300
1943-05,7.7279,6.2642,1.3362,3.4444,5.7500,4.4600,3.2800,5.9000,0.0200
1943-06,5.2381,-1.3430,-0.6750,-1.1619,1.8200,-0.9800,-0.7500,-1.3200,0.0300
1943-07,-16.0975,-8.0562,-3.2379,-5.2986,-4.7800,-2.3100,-2.2300,-4.5100,0.0300
1943-08,1.8092,-1.6139,-0.2960,0.8740,1.3000,-0.6400,-0.4700,0.9000,0.0300
1943-09,5.1646,4.8290,2.0202,2.8810,2.4000,1.3000,1.4200,1.7300,0.0300
1943-10,-6.9074,3.0629,3.0830,-1.5941,-1.1500,0.6000,1.6800,-0.6900,0.0300
1943-11,-28.1417,-11.3321,-8.1045,-12.7366,-5.9300,-1.5700,-3.9900,-4.4700,0.0300
1943-12,9.5613,6.5447,1.4907,3.5052,6.3700,3.1000,2.9000,5.9400,0.0300
1944-01,5.8852,12.5466,3.4748,5.4134,1.7400,2.6100,2.2900,0.7500,0.0300
1944-02,2.1619,-0.4402,2.1568,5.7739,0.3700,-0.0800,0.8500,0.3400,0.0300
1944-03,21.0614,15.1109,5.4700,38.7849,2.4600,1.6500,3.3500,2.6100,0.0200
1944-04,-8.5609,-6.6764,-1.7626,5.8572,-1.6900,-1.3100,-1.0600,0.5100,0.0300
1944-05,24.8716,11.2480,1.5084,45.3112,5.0800,1.6800,1.0300,1.9000,0.0300
1944-06,51.0415,57.3349,6.3171,-160.2531,5.5100,4.1100,1.8900,-5.5200,0.0300
1944-07,-7.4011,3.5525,-1.1456,2.0453,-1.4900,0.5800,-0.4200,0.1400,0.0300
1944-08,5.6122,4.9982,-2.7803,22.6585,1.5600,2.3700,-1.4400,4.7500,0.0300
1944-09,0.1311,2.4941,-3.2766,-6.3872,0.0200,0.4800,-1.2000,-1.3100,0.0200
1944-10,0.4793,-0.6957,-0.7302,-2.8474,0.1600,-0.1600,-0.3600,-1.3200,0.0300
1944-11,10.1675,3.3243,16.6903,7.0838,1.7100,0.3500,2.3800,1.3600,0.0300
1944-12,34.5959,21.6399,32.6484,17.4045,4.0400,2.2300,5.8700,3.3100,0.0200
1945-01,8.3246,21.0969,1.1978,0.2749,2.0100,2.4500,0.6800,0.0300,0.0300
1945-02,24.5922,12.4532,6.0993,23.8004,6.2300,1.6200,4.4300,3.2000,0.0200
1945-03,-21.5322,-13.7885,-4.8568,-24.6729,-3.9100,-1.6600,-1.5700,-3.0700,0.0200
1945-04,13.6506,1.2219,4.2400,7.7786,7.8000,0.4800,3.1100,4.7100,0.0300
1945-05,5.3582,16.9790,0.9800,0.5361,1.7400,1.5300,0.3400,0.1500,0.0300
1945-06,1.6371,20.2912,16.4238,28.7444,0.3900,3.1400,4.2700,4.1400,0.0200
1945-07,-9.0490,-6.0793,-4.9234,-10.6544,-2.1700,-1.4500,-2.7300,-2.6800,0.0300
1945-08,12.3146,10.5341,-9.7355,-1.2689,6.2200,1.6000,-4.4000,-1.3000,0.0300
1945-09,7.9743,14.3905,0.8134,1.3417,4.7700,1.7400,0.4600,1.3700,0.0300
1945-10,10.9105,21.4294,17.6755,0.6383,3.8900,2.3600,2.1400,0.1700,0.0300
1945-11,18.4701,34.3613,18.3625,14.9928,5.4000,4.1800,4.3500,4.3100,0.0200
1945-12,2.7795,14.4326,-7.8704,6.4123,1.1900,2.1600,-2.4000,1.2300,0.0300
1946-01,11.7445,10.9839,8.4561,8.3735,6.2400,3.9800,2.2800,3.7700,0.0300
1946-02,-7.7708,-1.8577,-5.5343,-3.9224,-5.8400,-0.6800,-1.2700,-1.4300,0.0300
1946-03,3.0898,0.5652,-1.1316,2.3551,5.8800,0.3000,-0.3700,2.7000,0.0300
1946-04,8.3285,9.0379,4.6203,8.8945,4.2300,2.3700,0.4600,3.0400,0.0300
1946-05,13.8046,10.5256,11.1202,-4.2112,3.9400,1.4800,1.1000,-0.5300,0.0300
1946-06,-10.8794,-8.1826,-2.5683,-12.2239,-3.8900,-1.5500,-0.5300,-2.5100,0.0300
1946-07,-5.5175,-11.9298,0.4262,1.2445,-2.6900,-1.9100,0.0500,0.2200,0.0300
1946-08,-10.7745,-6.3246,5.6367,-0.1941,-6.4600,-1.8000,0.6000,-0.0500,0.0300
1946-09,-14.3664,-11.6898,-27.5141,7.0252,-10.1800,-4.4300,-1.9700,0.7000,0.0300
1946-10,-0.2754,0.1178,11.9383,3.5196,-1.4400,0.1700,3.4500,0.9100,0.0300
1946-11,-0.0107,-0.6450,6.1977,0.4143,-0.0200,-0.3700,1.5300,0.2800,0.0300
1946-12,4.3074,0.0000,-5.4629,0.0793,4.9700,0.0000,-1.4100,0.0900,0.0300
1947-01,1.5569,6.3858,-10.0595,-5.9084,1.2500,2.2000,-0.7400,-6.3200,0.0300
1947-02,-1.8584,1.5101,1.6339,-0.6887,-1.0900,0.7000,0.1400,-0.5000,0.0300
1947-03,-4.5314,-8.3258,2.9462,6.4325,-1.6800,-1.6000,0.6100,4.1000,0.0300
1947-04,-6.7015,-20.9236,20.6900,13.9004,-4.8000,-3.9700,0.8500,5.4100,0.0300
1947-05,-1.3570,-6.4867,3.1503,5.0525,-0.9600,-3.2700,0.3200,3.3700,0.0300
1947-06,7.3684,-0.6567,-3.8916,-2.0267,5.3000,-0.3300,-0.6400,-1.8400,0.0300
1947-07,7.8222,6.6183,26.4418,-3.6349,4.1300,1.4700,2.7600,-3.3800,0.0300
1947-08,-3.1450,1.0178,0.4005,5.1714,-1.7400,0.3300,0.1400,3.4000,0.0300
1947-09,-2.0372,17.8620,6.7040,1.8745,-0.5400,1.6200,1.3600,0.1000,0.0600
1947-10,6.4336,4.5023,0.3006,36.2561,2.4700,0.5200,0.1100,1.5600,0.0600
1947-11,-6.9779,-6.1131,4.4730,38.5204,-1.9900,-1.6900,1.0700,4.2600,0.0600
1947-12,27.3324,-17.7636,35.3772,44.4628,3.0100,-2.4700,3.7400,3.6400,0.0800
1948-01,-13.5873,16.8221,5.2113,-21.9360,-3.9300,2.5200,1.3800,-4.1900,0.0700
1948-02,-13.0106,-10.4241,0.1298,3.6843,-4.3800,-1.7000,0.0500,1.4100,0.0700
1948-03,14.2206,0.6262,19.0833,-3.5951,8.1100,0.1200,4.5200,-0.2500,0.0900
1948-04,6.0472,-7.9136,7.5894,31.5148,3.6500,-1.6400,4.1200,4.1600,0.0800
1948-05,49.0743,5.0779,-2.5377,11.8416,7.3200,0.8700,-1.2700,2.3300,0.0800
1948-06,-0.3092,-6.6702,6.7975,17.2557,-0.1100,-1.7800,2.8400,3.9700,0.0900
1948-07,-20.1408,-1.7626,0.2620,-6.0923,-5.0800,-0.3800,0.1100,-1.6000,0.0800
